ID,Latitude,Longitude,Date,MODIS_Tile,MYD16A2_061_Line_Y_500m,MYD16A2_061_Sample_X_500m,MYD16A2_061_ET_500m,MYD16A2_061_PET_500m,MYD16A2_061_ET_QC_500m,MYD16A2_061_ET_QC_500m_bitmask,MYD16A2_061_ET_QC_500m_MODLAND,MYD16A2_061_ET_QC_500m_MODLAND_Description,MYD16A2_061_ET_QC_500m_Sensor,MYD16A2_061_ET_QC_500m_Sensor_Description,MYD16A2_061_ET_QC_500m_DeadDetector,MYD16A2_061_ET_QC_500m_DeadDetector_Description,MYD16A2_061_ET_QC_500m_CloudState,MYD16A2_061_ET_QC_500m_CloudState_Description,MYD16A2_061_ET_QC_500m_SCF_QC,MYD16A2_061_ET_QC_500m_SCF_QC_Description
aceabsar,45.56,-109.61,2021-12-11,h10v04,1065.0,781.0,6.0999999,9.6999998,83.0,0b01010011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
aceabsar,45.56,-109.61,2021-12-19,h10v04,1065.0,781.0,6.8000002,10.6000004,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-12-27,h10v04,1065.0,781.0,2.7,3.4000001,75.0,0b01001011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
aceabsar,45.56,-109.61,2022-01-01,h10v04,1065.0,781.0,5.5999999,9.0,75.0,0b01001011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
aceabsar,45.56,-109.61,2022-01-09,h10v04,1065.0,781.0,6.9000001,15.1000004,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-01-17,h10v04,1065.0,781.0,7.2000003,13.6999998,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-01-25,h10v04,1065.0,781.0,6.0,16.3000011,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-02-02,h10v04,1065.0,781.0,8.5,19.1000004,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-02-10,h10v04,1065.0,781.0,7.0,15.6999998,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-02-18,h10v04,1065.0,781.0,4.0999999,6.3000002,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-02-26,h10v04,1065.0,781.0,7.8000002,19.2000008,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-03-06,h10v04,1065.0,781.0,5.7000003,8.3000002,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
aceabsar,45.56,-109.61,2022-03-14,h10v04,1065.0,781.0,8.0,25.3999996,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-03-22,h10v04,1065.0,781.0,6.7000003,28.8000011,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-04-15,h10v04,1065.0,781.0,11.1999998,24.8999996,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-04-23,h10v04,1065.0,781.0,8.3000002,29.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-05-01,h10v04,1065.0,781.0,9.1000004,35.7000008,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-05-09,h10v04,1065.0,781.0,8.8000002,33.2000008,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-01-01,h10v04,1041.0,569.0,3.5,3.6000001,75.0,0b01001011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-01-09,h10v04,1041.0,569.0,3.6000001,3.8,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-01-17,h10v04,1041.0,569.0,3.3,3.4000001,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
