ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A2_061_Line_Y_500m,MOD16A2_061_Sample_X_500m,MOD16A2_061_ET_500m,MOD16A2_061_PET_500m,MOD16A2_061_ET_QC_500m,MOD16A2_061_ET_QC_500m_bitmask,MOD16A2_061_ET_QC_500m_MODLAND,MOD16A2_061_ET_QC_500m_MODLAND_Description,MOD16A2_061_ET_QC_500m_Sensor,MOD16A2_061_ET_QC_500m_Sensor_Description,MOD16A2_061_ET_QC_500m_DeadDetector,MOD16A2_061_ET_QC_500m_DeadDetector_Description,MOD16A2_061_ET_QC_500m_CloudState,MOD16A2_061_ET_QC_500m_CloudState_Description,MOD16A2_061_ET_QC_500m_SCF_QC,MOD16A2_061_ET_QC_500m_SCF_QC_Description
blmcapit,45.32,-104.14,2021-10-16,h10v04,1123.0,1625.0,7.5,19.8000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-10-24,h10v04,1123.0,1625.0,6.9000001,17.1000004,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-11-01,h10v04,1123.0,1625.0,7.0,19.3999996,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-11-09,h10v04,1123.0,1625.0,7.0,16.7000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-11-17,h10v04,1123.0,1625.0,6.9000001,12.5,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-11-25,h10v04,1123.0,1625.0,7.7000003,14.5,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-12-03,h10v04,1123.0,1625.0,7.0,9.3000002,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-12-11,h10v04,1123.0,1625.0,6.7000003,9.6000004,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-12-19,h10v04,1123.0,1625.0,7.0,9.0,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2021-12-27,h10v04,1123.0,1625.0,2.2,2.6000001,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmcapit,45.32,-104.14,2022-01-01,h10v04,1123.0,1625.0,4.5999999,5.2000003,65.0,0b01000001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmcapit,45.32,-104.14,2022-01-09,h10v04,1123.0,1625.0,6.9000001,9.4000006,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-01-17,h10v04,1123.0,1625.0,6.8000002,9.4000006,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-01-25,h10v04,1123.0,1625.0,6.9000001,12.8000002,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-02-02,h10v04,1123.0,1625.0,7.0,12.9000006,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-02-10,h10v04,1123.0,1625.0,7.5,12.0,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-02-18,h10v04,1123.0,1625.0,5.4000001,7.5999999,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-02-26,h10v04,1123.0,1625.0,7.4000001,11.5,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-03-06,h10v04,1123.0,1625.0,9.1000004,16.3000011,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-03-14,h10v04,1123.0,1625.0,9.0,28.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-03-22,h10v04,1123.0,1625.0,9.3000002,27.8000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-03-30,h10v04,1123.0,1625.0,8.8000002,28.1000004,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-04-07,h10v04,1123.0,1625.0,8.5,23.1000004,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-04-15,h10v04,1123.0,1625.0,13.0,27.6000004,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-04-23,h10v04,1123.0,1625.0,15.3000002,26.3999996,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-05-01,h10v04,1123.0,1625.0,7.5999999,40.7000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmcapit,45.32,-104.14,2022-05-09,h10v04,1123.0,1625.0,8.8000002,37.7999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-01-01,h10v04,542.0,2067.0,6.5,8.3000002,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-01-09,h10v04,542.0,2067.0,6.5,9.9000006,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-01-17,h10v04,542.0,2067.0,5.8000002,8.3000002,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-01-25,h10v04,542.0,2067.0,5.5,7.0999999,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-02-02,h10v04,542.0,2067.0,5.5,7.4000001,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-02-10,h10v04,542.0,2067.0,3.8,4.5,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2021-02-18,h10v04,542.0,2067.0,6.8000002,13.1000004,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-02-26,h10v04,542.0,2067.0,6.5999999,21.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-03-06,h10v04,542.0,2067.0,6.5999999,21.8000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-03-14,h10v04,542.0,2067.0,6.3000002,23.6000004,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-03-22,h10v04,542.0,2067.0,7.5999999,24.2000008,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-03-30,h10v04,542.0,2067.0,4.8000002,36.2000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-04-07,h10v04,542.0,2067.0,7.5999999,26.8000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-04-15,h10v04,542.0,2067.0,7.7000003,30.3000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-04-23,h10v04,542.0,2067.0,8.1999998,36.2999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-05-01,h10v04,542.0,2067.0,6.3000002,37.6000023,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-05-09,h10v04,542.0,2067.0,5.5,45.7999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-05-17,h10v04,542.0,2067.0,9.3000002,36.4000015,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-05-25,h10v04,542.0,2067.0,8.0,43.7000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-06-02,h10v04,542.0,2067.0,4.5999999,63.2000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-06-10,h10v04,542.0,2067.0,4.5999999,66.8000031,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-06-18,h10v04,542.0,2067.0,3.3,61.2000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-06-26,h10v04,542.0,2067.0,2.7,66.7000046,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-07-04,h10v04,542.0,2067.0,2.5,59.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-07-12,h10v04,542.0,2067.0,1.7,62.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-07-20,h10v04,542.0,2067.0,2.9000001,59.9000015,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-07-28,h10v04,542.0,2067.0,2.9000001,51.9000015,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-08-05,h10v04,542.0,2067.0,4.2000003,49.4000015,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-08-13,h10v04,542.0,2067.0,4.4000001,43.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-08-21,h10v04,542.0,2067.0,6.8000002,38.2000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-08-29,h10v04,542.0,2067.0,2.9000001,46.2999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-09-06,h10v04,542.0,2067.0,4.2000003,42.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-09-14,h10v04,542.0,2067.0,4.2000003,34.6000023,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-09-22,h10v04,542.0,2067.0,2.9000001,40.5,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-09-30,h10v04,542.0,2067.0,2.9000001,37.7999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-10-08,h10v04,542.0,2067.0,6.4000001,16.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-10-16,h10v04,542.0,2067.0,6.9000001,20.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-10-24,h10v04,542.0,2067.0,6.0,16.8999996,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-11-01,h10v04,542.0,2067.0,5.9000001,18.8999996,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-11-09,h10v04,542.0,2067.0,6.8000002,14.9000006,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-11-17,h10v04,542.0,2067.0,7.0,12.1999998,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-11-25,h10v04,542.0,2067.0,6.8000002,14.1000004,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2021-12-03,h10v04,542.0,2067.0,5.4000001,7.0,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2021-12-11,h10v04,542.0,2067.0,5.0,6.3000002,81.0,0b01010001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2021-12-19,h10v04,542.0,2067.0,4.7000003,5.0,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2021-12-27,h10v04,542.0,2067.0,1.5,1.5,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2022-01-01,h10v04,542.0,2067.0,3.3,3.5,65.0,0b01000001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2022-01-09,h10v04,542.0,2067.0,4.8000002,5.3000002,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2022-01-17,h10v04,542.0,2067.0,5.9000001,7.3000002,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2022-01-25,h10v04,542.0,2067.0,6.7000003,10.6999998,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
blmfortp,47.74,-106.15,2022-02-02,h10v04,542.0,2067.0,6.8000002,11.5,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-02-10,h10v04,542.0,2067.0,7.0999999,12.1000004,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-02-18,h10v04,542.0,2067.0,4.8000002,7.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-02-26,h10v04,542.0,2067.0,6.0,8.1999998,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-03-06,h10v04,542.0,2067.0,7.0999999,10.4000006,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-03-14,h10v04,542.0,2067.0,7.0999999,28.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-03-22,h10v04,542.0,2067.0,8.1999998,29.2000008,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
blmfortp,47.74,-106.15,2022-03-30,h10v04,542.0,2067.0,7.0999999,26.8000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
