ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A2H_061_Line_Y_500m,MYD17A2H_061_Sample_X_500m,MYD17A2H_061_Gpp_500m,MYD17A2H_061_Psn_QC_500m,MYD17A2H_061_Psn_QC_500m_bitmask,MYD17A2H_061_Psn_QC_500m_MODLAND,MYD17A2H_061_Psn_QC_500m_MODLAND_Description,MYD17A2H_061_Psn_QC_500m_Sensor,MYD17A2H_061_Psn_QC_500m_Sensor_Description,MYD17A2H_061_Psn_QC_500m_DeadDetector,MYD17A2H_061_Psn_QC_500m_DeadDetector_Description,MYD17A2H_061_Psn_QC_500m_CloudState,MYD17A2H_061_Psn_QC_500m_CloudState_Description,MYD17A2H_061_Psn_QC_500m_SCF_QC,MYD17A2H_061_Psn_QC_500m_SCF_QC_Description
aceabsar,45.56,-109.61,2021-08-21,h10v04,1065.0,781.0,0.0099,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-29,h10v04,1065.0,781.0,0.014,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-06,h10v04,1065.0,781.0,0.0095,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-14,h10v04,1065.0,781.0,0.0076,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-22,h10v04,1065.0,781.0,0.0075,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-30,h10v04,1065.0,781.0,0.0072,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-10-08,h10v04,1065.0,781.0,0.004,10.0,0b00001010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
aceabsar,45.56,-109.61,2021-10-16,h10v04,1065.0,781.0,0.0045,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-10-24,h10v04,1065.0,781.0,0.0044,10.0,0b00001010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
aceabsar,45.56,-109.61,2021-11-01,h10v04,1065.0,781.0,0.003,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
